linear params: 227809

Starting epoch 1/20...
  batch 4200/4465 loss 1.5515
  batch 4250/4465 loss 1.6524
  batch 4300/4465 loss 1.4230
  batch 4350/4465 loss 1.6293
  batch 4400/4465 loss 1.5060
  batch 4450/4465 loss 1.4785
  batch 4465/4465 loss 1.4533
ep06/20  train 1.5487  val WAPE 0.1898  time 49.7s
  no improvement (1/4)

Starting epoch 7/20...
  batch 50/4465 loss 1.5348
  batch 100/4465 loss 1.5036
  batch 150/4465 loss 1.5473
  batch 200/4465 loss 1.6173
  batch 250/4465 loss 1.4052
  batch 300/4465 loss 1.4086
  batch 350/4465 loss 1.5254
  batch 400/4465 loss 1.3970
  batch 450/4465 loss 1.5631
  batch 500/4465 loss 1.5058
  batch 550/4465 loss 1.5173
  batch 600/4465 loss 1.6879
  batch 650/4465 loss 1.3529
  batch 700/4465 loss 1.5473
  batch 750/4465 loss 1.4859
  batch 800/4465 loss 1.5528
  batch 850/4465 loss 1.5556
  batch 900/4465 loss 1.6295
  batch 950/4465 loss 1.6425
  batch 1000/4465 loss 1.6322
  batch 1050/4465 loss 1.4016
  batch 1100/4465 loss 1.5762
  batch 1150/4465 loss 1.5159
  batch 1200/4465 loss 1.4192
  batch 1250/4465 loss 1.5342
  batch 1300/4465 loss 1.5131
  batch 1350/4465 loss 1.5732
  batch 1400/4465 loss 1.6798
  batch 1450/4465 loss 1.4978
  batch 1500/4465 loss 1.5644
  batch 1550/4465 loss 1.4533
  batch 1600/4465 loss 1.5008
  batch 1650/4465 loss 1.6259
  batch 1700/4465 loss 1.6167
  batch 1750/4465 loss 1.6412
  batch 1800/4465 loss 1.4436
  batch 1850/4465 loss 1.4510
  batch 1900/4465 loss 1.6181
  batch 1950/4465 loss 1.4618
  batch 2000/4465 loss 1.4607
  batch 2050/4465 loss 1.6587
  batch 2100/4465 loss 1.6930
  batch 2150/4465 loss 1.5914
  batch 2200/4465 loss 1.5485
  batch 2250/4465 loss 1.5325
  batch 2300/4465 loss 1.5718
  batch 2350/4465 loss 1.5103
  batch 2400/4465 loss 1.4080
  batch 2450/4465 loss 1.6558
  batch 2500/4465 loss 1.5896
  batch 2550/4465 loss 1.4094
  batch 2600/4465 loss 1.5398
  batch 2650/4465 loss 1.5843
  batch 2700/4465 loss 1.5483
  batch 2750/4465 loss 1.3824
  batch 2800/4465 loss 1.6077
  batch 2850/4465 loss 1.5010
  batch 2900/4465 loss 1.4962
  batch 2950/4465 loss 1.4514
  batch 3000/4465 loss 1.4828
  batch 3050/4465 loss 1.5514
  batch 3100/4465 loss 1.5280
  batch 3150/4465 loss 1.4668
  batch 3200/4465 loss 1.5393
  batch 3250/4465 loss 1.5097
  batch 3300/4465 loss 1.5536
  batch 3350/4465 loss 1.6214
  batch 3400/4465 loss 1.4859
  batch 3450/4465 loss 1.5805
  batch 3500/4465 loss 1.7236
  batch 3550/4465 loss 1.5271
  batch 3600/4465 loss 1.5436
  batch 3650/4465 loss 1.4795
  batch 3700/4465 loss 1.6301
  batch 3750/4465 loss 1.5528
  batch 3800/4465 loss 1.5721
  batch 3850/4465 loss 1.4538
  batch 3900/4465 loss 1.6112
  batch 3950/4465 loss 1.6177
  batch 4000/4465 loss 1.5073
  batch 4050/4465 loss 1.6151
  batch 4100/4465 loss 1.5282
  batch 4150/4465 loss 1.4716
  batch 4200/4465 loss 1.5734
  batch 4250/4465 loss 1.5698
  batch 4300/4465 loss 1.4802
  batch 4350/4465 loss 1.5043
  batch 4400/4465 loss 1.6263
  batch 4450/4465 loss 1.4938
  batch 4465/4465 loss 1.6206
ep07/20  train 1.5437  val WAPE 0.1984  time 49.7s
  no improvement (2/4)

Starting epoch 8/20...
  batch 50/4465 loss 1.5834
  batch 100/4465 loss 1.5397
  batch 150/4465 loss 1.5547
  batch 200/4465 loss 1.6091
  batch 250/4465 loss 1.4960
  batch 300/4465 loss 1.5803
  batch 350/4465 loss 1.5113
  batch 400/4465 loss 1.4511
  batch 450/4465 loss 1.5574
  batch 500/4465 loss 1.5331
  batch 550/4465 loss 1.5019
  batch 600/4465 loss 1.5869
  batch 650/4465 loss 1.5232
  batch 700/4465 loss 1.6067
  batch 750/4465 loss 1.5891
  batch 800/4465 loss 1.5140
  batch 850/4465 loss 1.4615
  batch 900/4465 loss 1.4746
  batch 950/4465 loss 1.4654
  batch 1000/4465 loss 1.5474
  batch 1050/4465 loss 1.5473
  batch 1100/4465 loss 1.6898
  batch 1150/4465 loss 1.5976
  batch 1200/4465 loss 1.5040
  batch 1250/4465 loss 1.6083
  batch 1300/4465 loss 1.4288
  batch 1350/4465 loss 1.5317
  batch 1400/4465 loss 1.5346
  batch 1450/4465 loss 1.4205
  batch 1500/4465 loss 1.6077
  batch 1550/4465 loss 1.6614
  batch 1600/4465 loss 1.6038
  batch 1650/4465 loss 1.4186
  batch 1700/4465 loss 1.6787
  batch 1750/4465 loss 1.5289
  batch 1800/4465 loss 1.6200
  batch 1850/4465 loss 1.5608
  batch 1900/4465 loss 1.6029
  batch 1950/4465 loss 1.5233
  batch 2000/4465 loss 1.6037
  batch 2050/4465 loss 1.3924
  batch 2100/4465 loss 1.5417
  batch 2150/4465 loss 1.6496
  batch 2200/4465 loss 1.4931
  batch 2250/4465 loss 1.4571
  batch 2300/4465 loss 1.5822
  batch 2350/4465 loss 1.4271
  batch 2400/4465 loss 1.6276
  batch 2450/4465 loss 1.6404
  batch 2500/4465 loss 1.3890
  batch 2550/4465 loss 1.5603
  batch 2600/4465 loss 1.5254
  batch 2650/4465 loss 1.4995
  batch 2700/4465 loss 1.5865
  batch 2750/4465 loss 1.4339
  batch 2800/4465 loss 1.5244
  batch 2850/4465 loss 1.4454
  batch 2900/4465 loss 1.5144
  batch 2950/4465 loss 1.4397
  batch 3000/4465 loss 1.6220
  batch 3050/4465 loss 1.4291
  batch 3100/4465 loss 1.4274
  batch 3150/4465 loss 1.5232
  batch 3200/4465 loss 1.4655
  batch 3250/4465 loss 1.4712
  batch 3300/4465 loss 1.6089
  batch 3350/4465 loss 1.4760
  batch 3400/4465 loss 1.5631
  batch 3450/4465 loss 1.5389
  batch 3500/4465 loss 1.5602
  batch 3550/4465 loss 1.5653
  batch 3600/4465 loss 1.3657
  batch 3650/4465 loss 1.5046
  batch 3700/4465 loss 1.5357
  batch 3750/4465 loss 1.6820
  batch 3800/4465 loss 1.5290
  batch 3850/4465 loss 1.5784
  batch 3900/4465 loss 1.5494
  batch 3950/4465 loss 1.4651
  batch 4000/4465 loss 1.5302
  batch 4050/4465 loss 1.5487
  batch 4100/4465 loss 1.5138
  batch 4150/4465 loss 1.5604
  batch 4200/4465 loss 1.5155
  batch 4250/4465 loss 1.5013
  batch 4300/4465 loss 1.5498
  batch 4350/4465 loss 1.6186
  batch 4400/4465 loss 1.4895
  batch 4450/4465 loss 1.5123
  batch 4465/4465 loss 1.5401
ep08/20  train 1.5393  val WAPE 0.1880  time 50.2s
  no improvement (3/4)

Starting epoch 9/20...
  batch 50/4465 loss 1.6379
  batch 100/4465 loss 1.4001
  batch 150/4465 loss 1.5247
  batch 200/4465 loss 1.4632
  batch 250/4465 loss 1.4621
  batch 300/4465 loss 1.5163
  batch 350/4465 loss 1.5499
  batch 400/4465 loss 1.6239
  batch 450/4465 loss 1.5433
  batch 500/4465 loss 1.6034
  batch 550/4465 loss 1.4464
  batch 600/4465 loss 1.4431
  batch 650/4465 loss 1.5825
  batch 700/4465 loss 1.3965
  batch 750/4465 loss 1.4733
  batch 800/4465 loss 1.5444
  batch 850/4465 loss 1.4803
  batch 900/4465 loss 1.6110
  batch 950/4465 loss 1.5340
  batch 1000/4465 loss 1.5651
  batch 1050/4465 loss 1.5935
  batch 1100/4465 loss 1.4213
  batch 1150/4465 loss 1.3194
  batch 1200/4465 loss 1.4985
  batch 1250/4465 loss 1.3937
  batch 1300/4465 loss 1.5720
  batch 1350/4465 loss 1.4261
  batch 1400/4465 loss 1.5920
  batch 1450/4465 loss 1.6011
  batch 1500/4465 loss 1.5468
  batch 1550/4465 loss 1.6340
  batch 1600/4465 loss 1.4758
  batch 1650/4465 loss 1.4095
  batch 1700/4465 loss 1.5637
  batch 1750/4465 loss 1.6230
  batch 1800/4465 loss 1.4406
